Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-10-05,21:00,Vasco da Gama,1–1,Juventude,,Estádio Club de Regatas Vasco da Gama
2024-10-09,19:30,Atlético Mineiro,2–1,Grêmio,,Arena MRV
2024-10-17,20:00,Flamengo,0–2,Fluminense,,Estadio Jornalista Mário Filho
2024-10-17,20:00,Corinthians,5–2,Ath Paranaense,,Neo Química Arena
2024-10-16,21:45,São Paulo,3–0,Vasco da Gama,,Estádio Brinco de Ouro da Princesa
2024-10-16,21:45,Fortaleza,1–1,Atlético Mineiro,,Estádio Castelão
2024-10-18,19:00,Atl Goianiense,0–0,Cuiabá,,Estádio Antônio Accioly
2024-10-18,20:00,Botafogo (RJ),1–1,Criciúma,,Estadio Jornalista Mário Filho
2024-10-19,16:00,Vitória,1–0,Red Bull Bragantino,,Estádio Manoel Barradas
2024-10-19,16:00,Internacional,1–0,Grêmio,,Estádio José Pinheiro Borba
2024-10-18,21:30,Cruzeiro,1–1,Bahia,,Estádio Governador Magalhães Pinto
2024-10-20,20:00,Juventude,3–5,Palmeiras,,Estádio Alfredo Jaconi
2024-10-22,19:30,Fluminense,1–0,Ath Paranaense,,Estadio Jornalista Mário Filho
2024-10-24,19:00,Vasco da Gama,1–0,Cuiabá,,Estádio Club de Regatas Vasco da Gama
2024-10-26,16:30,Vitória,2–1,Fluminense,,Estádio Manoel Barradas
2024-10-26,16:30,Flamengo,4–2,Juventude,,Estadio Jornalista Mário Filho
2024-10-26,16:30,Grêmio,3–1,Atl Goianiense,,Arena do Grêmio
2024-10-26,16:30,Palmeiras,2–2,Fortaleza,,Allianz Parque
2024-10-26,18:30,Ath Paranaense,3–0,Cruzeiro,,Ligga Arena
2024-10-26,19:00,Atlético Mineiro,1–3,Internacional,,Arena MRV
2024-10-26,19:00,Red Bull Bragantino,0–1,Botafogo (RJ),,Estádio Nabi Abi Chedid
2024-10-26,22:00,Criciúma,1–1,São Paulo,17.422,Estádio Heriberto Hülse
2024-10-28,18:00 (19:00),Cuiabá,0–1,Corinthians,,Arena Pantanal
2024-10-28,21:00,Vasco da Gama,3–2,Bahia,,Estádio Club de Regatas Vasco da Gama
